gene	tpm
YDR024W	0.761744
YDR025W	803.2989
YDR026C	21.566287
YDR027C	21.68511
YDR028C	54.78269245
YDR029W	48.6057
YDR030C	10.15945
YDR031W	36.39824
YDR032C	255.199
YDR033W	555.536
YDR034C	25.97401
YDR034C-A	3537.7
YDR034C-C	19.4943
YDR034C-D	17.4861
YDR034W-B	25.6874
YDR035W	145.5137
YDR036C	34.9151
YDR037W	328.454
YDR038C	50.6822
YDR039C	59.3824
YDR040C	69.004
YDR041W	59.5239
YDR042C	9.42744
YDR043C	25.2326
YDR044W	36.0769
YDR045C	49.4859
YDR046C	64.836337
YDR047W	50.2162
YDR048C	0
YDR049W	23.572
YDR050C	2291.637
YDR051C	42.9196
YDR052C	24.6865
YDR053W	20.9455
YDR054C	81.3898
YDR055W	278.956
YDR056C	68.0536
YDR057W	23.0867
YDR058C	20.85259
YDR059C	71.4956
YDR060W	89.116622564
YDR061W	34.63374
YDR062W	93.19521
YDR063W	55.4132
YDR064W	933.514
YDR065W	25.227
YDR066C	8.67425
YDR067C	14.2091
YDR068W	22.31412
YDR069C	17.8272
YDR070C	21.63717
YDR071C	185.5567
YDR072C	85.47889
YDR073W	51.3035
YDR074W	37.7279
YDR075W	57.14781
YDR076W	6.0747
YDR077W	612.313
YDR078C	15.9028
YDR079C-A	10.865589
YDR079W	59.6218
YDR080W	15.7461
YDR081C	20.2721000006105
YDR082W	16.5723
YDR083W	30.25095
YDR084C	18.13808
YDR085C	23.17
YDR086C	101.746
YDR087C	68.3
YDR088C	15.4424
YDR089W	18.1093
YDR090C	28.25126
YDR091C	133.925
YDR092W	188.3533
YDR093W	35.4268
YDR094W	29.082704
YDR095C	2.23182
YDR096W	18.895
YDR097C	18.61112
YDR098C	106.9229
YDR098C-A	196.916
YDR098C-B	44.3195
YDR099W	176.224
YDR100W	66.6672
YDR101C	123.5443
YDR102C	14.8816
YDR103W	27.333
YDR104C	14.296
YDR105C	31.73291
YDR106W	4.87813
YDR107C	17.27417
YDR108W	13.74024
YDR109C	18.1272
YDR110W	19.4881
YDR111C	52.2671
YDR112W	0
YDR113C	11.41784
YDR114C	1.29093
YDR115W	77.6393
YDR116C	53.9572
YDR117C	25.5629
YDR118W	7.8862
YDR118W-A	3.86894
YDR119W	48.08999518
YDR119W-A	10.4321
YDR120C	47.7826
YDR121W	43.625
YDR122W	40.1323
YDR123C	20.44183
YDR124W	9.95874
YDR125C	9.67468
YDR126W	20.18605
YDR127W	53.3101
YDR128W	39.1508
YDR129C	139.1189
YDR130C	12.18185
YDR131C	13.021300686024
YDR132C	15.48027
YDR133C	174.128
YDR135C	91.3558
YDR136C	2.9979
YDR137W	22.6072
YDR138W	25.3697
YDR139C	149.4893
YDR140W	57.94
YDR141C	28.6626
YDR142C	27.42929
YDR143C	53.0285
YDR144C	40.8217
YDR145W	29.68907
YDR146C	12.7304
YDR147W	17.02947
YDR148C	62.9958
YDR149C	18.376
YDR150W	23.7479
YDR151C	40.9179
YDR152W	103.7284
YDR153C	48.1582
YDR154C	3245.105
YDR155C	0
YDR156W	310.717
YDR157W	7.84618
YDR158W	223.0073
YDR159W	18.803
YDR160W	15.4765
YDR161W	57.8771
YDR162C	26.4452
YDR163W	18.4445
YDR164C	32.66004
YDR165W	70.694
YDR166C	16.8551
YDR167W	25.48656
YDR168W	118.3915
YDR169C	19.58676
YDR169C-A	89.8117
YDR170C	40.1499
YDR170W-A	10.5926
YDR171W	38.9863
YDR172W	147.220352
YDR173C	24.4375
YDR174W	222.651
YDR175C	38.8795
YDR176W	19.51221
YDR177W	140.5203
YDR178W	35.2489
YDR179C	5.67010161
YDR179W-A	13.3508606
YDR180W	19.9196
YDR181C	15.77249
YDR182W	49.323
YDR182W-A	4.43761
YDR183C-A	2.86442
YDR183W	23.406
YDR184C	63.1214
YDR185C	22.9918
YDR186C	30.4098
YDR187C	24.2546
YDR188W	222.4069
YDR189W	44.7276
YDR190C	100.0448
YDR191W	12.68846
YDR192C	26.11102
YDR193W	5.04029
YDR194C	124.485
YDR194W-A	1.13849
YDR195W	12.8069
YDR196C	42.9711
YDR197W	27.62384
YDR198C	25.43625
YDR199W	3.8118
YDR200C	16.8793
YDR201W	23.40738
YDR202C	19.44951
YDR203W	23.3936
YDR204W	57.9055
YDR205W	23.4997
YDR206W	36.5604
YDR207C	9.03205
YDR208W	38.8552
YDR209C	53.8463
YDR210C-C	11.5805
YDR210C-D	28.9009
YDR210W	27.144
YDR210W-A	3.22656
YDR210W-B	9.28393
